id,Day,Month,Year,Tminimum,Tmaximum,Tmean,RHmean,WS,ET,ET_M1,D_M1,ET_M2,D_M2,ET_M3,D_M3,ET_M4,D_M4,ET_M5,D_M5
1828,1         ,1         ,2005      ,12.4,20.3,6.3,58,2.03,2.8,3.26,0.46,2.58,0.22,6.36,3.56,3.82,1.02,3.32,0.52
1829,2         ,1         ,2005      ,12.1,19.4,5.9,60,1.29,2.3,1.45,0.85,1.82,0.48,0.49,1.81,1.72,0.58,0.02,2.28
1830,3         ,1         ,2005      ,12.8,20.2,8.4,56,1.6,2.6,2.77,0.17,2.51,0.09,5.59,2.99,1.76,0.84,8.26,5.66
1831,4         ,1         ,2005      ,11.8,19.1,6.1,60,1.41,2.3,0.8,1.5,1.62,0.68,0.66,1.64,1.9,0.4,0.88,1.42
1832,5         ,1         ,2005      ,13.0,19.8,7.5,54,0.98,2.2,0.32,1.88,2.15,0.05,-0.21,2.41,3.46,1.26,7.59,5.39
1833,6         ,1         ,2005      ,14.7,21.8,10.1,49,1.2,2.6,3.81,1.21,1.96,0.64,1.54,1.06,1.78,0.82,5.37,2.77
1834,7         ,1         ,2005      ,14.7,21.9,9.7,48,1.35,2.7,4.5,1.8,3.04,0.34,6.42,3.72,3.77,1.07,7.23,4.53
1835,8         ,1         ,2005      ,16.6,24.3,9.2,45,1.82,3.4,4.32,0.92,3.91,0.51,1.03,2.37,2.77,0.63,0.89,2.51
1836,9         ,1         ,2005      ,16.4,24.3,10.4,47,1.59,3.2,4.51,1.31,2.99,0.21,0.0600000000000001,3.14,3.4,0.2,-0.47,3.67
1837,10        ,1         ,2005      ,14.5,23.0,8.1,47,1.73,3.2,2.56,0.64,2.39,0.81,1.41,1.79,3.65,0.45,4.85,1.65
1838,11        ,1         ,2005      ,14.6,22.3,7.5,34,1.16,2.8,3.82,1.02,2.72,0.08,3.24,0.44,2.81,0.01,8.42,5.62
1839,12        ,1         ,2005      ,14.5,22.1,6.8,31,1.16,2.9,2.55,0.35,2.22,0.68,1.28,1.62,2.51,0.39,3.69,0.79
